Code,Name,Sales Executive,Sales Area,Sales Region,Sales Territory,State
01000137,Shri Shiv Agro Centre Sanand,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
01000138,Shri Umiya Fertilizers Mandal,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
01000140,Suraj Agro Seeds Asodar Chowkdi,NADIYAD TERRITORY,Gujarat,VADODARA,NADIYAD,Gujarat
01000141,Swastik Sales  Prantij,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
01000145,Umiya Agro Centre Thara,OTHER NS GUJARAT TERRITORY,Gujarat,VADODARA,OTHER NS GUJARAT,Gujarat
01000146,Umiya Agro Traders Balasinor,NADIYAD TERRITORY,Gujarat,VADODARA,NADIYAD,Gujarat
01000147,Agri Business Center - Bechraji,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
01000148,Umiya Fertilizers Jadar,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
01000150,Agri Business Centre Vadia,AMRELI TERRITORY,Gujarat,RAJKOT,AMRELI,Gujarat
01000151,Agro Service Centre Lathi,AMRELI TERRITORY,Gujarat,RAJKOT,AMRELI,Gujarat
01000152,Ambica Agro Centre Chalala,AMRELI TERRITORY,Gujarat,RAJKOT,AMRELI,Gujarat
01000153,Amidhara Beej Nigam Gir Gadhada,AMRELI TERRITORY,Gujarat,RAJKOT,AMRELI,Gujarat
01000154,Bhagwati Agro Agency Amreli,AMRELI TERRITORY,Gujarat,RAJKOT,AMRELI,Gujarat
01000155,Chirag Agro Centre Babra,AMRELI TERRITORY,Gujarat,RAJKOT,AMRELI,Gujarat
01000159,Gopinath Agro Chemicals Rajula,AMRELI TERRITORY,Gujarat,RAJKOT,AMRELI,Gujarat
01000162,Gurukrupa Agro Agency Mota Akadiya,AMRELI TERRITORY,Gujarat,RAJKOT,AMRELI,Gujarat
01000169,Khodiyar Krushi Kendra Amreli,AMRELI TERRITORY,Gujarat,RAJKOT,AMRELI,Gujarat
01000171,Kishan Agro Centre Tori,AMRELI TERRITORY,Gujarat,RAJKOT,AMRELI,Gujarat
01000172,Komal Agro Centre Sanali,AMRELI TERRITORY,Gujarat,RAJKOT,AMRELI,Gujarat
01000173,Krushnanand Agro Chemicals Dhokadva,AMRELI TERRITORY,Gujarat,RAJKOT,AMRELI,Gujarat
01000175,Maruti Agro Agency Khambha,OTHER SAURASHTRA TERRITORY,Gujarat,RAJKOT,OTHER SAURASHTRA,Gujarat
01000180,Patel Agro Centre Chamardi,AMRELI TERRITORY,Gujarat,RAJKOT,AMRELI,Gujarat
01000182,Patel Kheti Vikas Kendra Damnagar,AMRELI TERRITORY,Gujarat,RAJKOT,AMRELI,Gujarat
01000183,Radhe Agro Centre Badhada,AMRELI TERRITORY,Gujarat,RAJKOT,AMRELI,Gujarat
01000189,Shriji Agro Agency Timbi,AMRELI TERRITORY,Gujarat,RAJKOT,AMRELI,Gujarat
01000204,Green Gold Garden & Agro Consultancy Ahmedabad,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
01000221,Agro Cure Agency  Dabhoi,BARODA TERRITORY,Gujarat,VADODARA,BARODA,Gujarat
01000226,Dixa Kiran Agro Centre Bhilad,SURAT TERRITORY,Gujarat,VADODARA,SURAT,Gujarat
01000229,Gayatri Traders - Sadhli,OTHER NS GUJARAT TERRITORY,Gujarat,VADODARA,OTHER NS GUJARAT,Gujarat
01000230,Gopal Agro  Naswadi,OTHER NS GUJARAT TERRITORY,Gujarat,VADODARA,OTHER NS GUJARAT,Gujarat
01000234,Jalaram Traders Segwa Chowkdi,BARODA TERRITORY,Gujarat,VADODARA,BARODA,Gujarat
01000247,Shri Shiv Shakti Traders  Shinor,BARODA TERRITORY,Gujarat,VADODARA,BARODA,Gujarat
01000248,Shri Shiv Shankar Traders - Vagra,OTHER NS GUJARAT TERRITORY,Gujarat,VADODARA,OTHER NS GUJARAT,Gujarat
01000252,Yogi Sales Corporation  Amod,BARODA TERRITORY,Gujarat,VADODARA,BARODA,Gujarat
01000253,Agri Business Centre  Boradi,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
01000255,Agri Business Centre(Dvd) Botad,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
01000265,Bapa Sitaram Krushi Kendra Mahuva,OTHER SAURASHTRA TERRITORY,Gujarat,RAJKOT,OTHER SAURASHTRA,Gujarat
01000266,Brahmani Agro Chemicals  Moti Kundal,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
01000270,Darshan Khedut Hat - Dhola,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
01000273,Gokul Trading Co  Lathidad,OTHER SAURASHTRA TERRITORY,Gujarat,RAJKOT,OTHER SAURASHTRA,Gujarat
01000279,Madhavan Agro Tarsamiya,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
01000281,Maruti Agro Chemicals  Mahuva,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
01000283,Parmar Agro Center  Jambala,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
01000284,Parth Agro Agency Sihor,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
01000286,Patel Agro Chemicals Kalatalav,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
01000287,Patel Agro Servises  Barwala,OTHER SAURASHTRA TERRITORY,Gujarat,RAJKOT,OTHER SAURASHTRA,Gujarat
01000288,Patel Beej Nigam  Bhavnagar,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
01000289,Santkrupa Agro Chemicals Rajpara,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
01000290,Savani Sales Agency Dhasa,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
01000291,Shivam Agro Chemical Lathidad,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
01000293,Tulsi Agro Agency Botad,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
01000294,Tushar Agro Chemicals Talaja,OTHER SAURASHTRA TERRITORY,Gujarat,RAJKOT,OTHER SAURASHTRA,Gujarat
01000295,Vijay Trading Co Mahuva,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
01000296,Vikas Agro Chemicals - Sanosara,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
01000297,Vrundavan Agro Centre Gundarana,OTHER SAURASHTRA TERRITORY,Gujarat,RAJKOT,OTHER SAURASHTRA,Gujarat
01000298,Yamuna Agro Centre Totaniyana,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
01000307,Madhav Fertilizer (Madhupur Ghed),JUNAGADH TERRITORY,Gujarat,RAJKOT,JUNAGADH,Gujarat
01000312,Shri Gunatitpur Sewa Sahkari Mandli Ltd Gunatipur,OTHER SAURASHTRA TERRITORY,Gujarat,RAJKOT,OTHER SAURASHTRA,Gujarat
01000314,Shri Umiya Agro Chemicals Netra,SURENDRANAGAR TERRITORY,Gujarat,VADODARA,SURENDRANAGAR,Gujarat
01000317,Velani Traders Rayanmoti,SURENDRANAGAR TERRITORY,Gujarat,VADODARA,SURENDRANAGAR,Gujarat
01000330,Gujarat Agro Seeds Jamjodhpur,JAMNAGAR TERRITORY,Gujarat,RAJKOT,JAMNAGAR,Gujarat
01000338,Khodal Agro Center Pithadia,JAMNAGAR TERRITORY,Gujarat,RAJKOT,JAMNAGAR,Gujarat
01000341,Khodiyar Agro Chemicals Jayva,JAMNAGAR TERRITORY,Gujarat,RAJKOT,JAMNAGAR,Gujarat
01000343,Kishan Agro Centre Matwa,JAMNAGAR TERRITORY,Gujarat,RAJKOT,JAMNAGAR,Gujarat
01000346,Krushi Vikas Kendra Bhadra Chowkdi,JAMNAGAR TERRITORY,Gujarat,RAJKOT,JAMNAGAR,Gujarat
01000356,Patel Seeds & Agro Chemicals Jamnagar,JAMNAGAR TERRITORY,Gujarat,RAJKOT,JAMNAGAR,Gujarat
01000357,Pavan Agro Traders Dhrol,JAMNAGAR TERRITORY,Gujarat,RAJKOT,JAMNAGAR,Gujarat
01000359,Radhe Agro Centre Falla,JAMNAGAR TERRITORY,Gujarat,RAJKOT,JAMNAGAR,Gujarat
01000363,Samay Agro Mota Gunda,JAMNAGAR TERRITORY,Gujarat,RAJKOT,JAMNAGAR,Gujarat
01000364,Shivdeep Agro Seeds Patelka,OTHER SAURASHTRA TERRITORY,Gujarat,RAJKOT,OTHER SAURASHTRA,Gujarat
01000365,Shivshakti Agro Centre Hadiyana,JAMNAGAR TERRITORY,Gujarat,RAJKOT,JAMNAGAR,Gujarat
01000368,Shriji Agro Centre Theba,JAMNAGAR TERRITORY,Gujarat,RAJKOT,JAMNAGAR,Gujarat
01000375,Vishal Agro Centre Keshiya,JAMNAGAR TERRITORY,Gujarat,RAJKOT,JAMNAGAR,Gujarat
01000376,Vrundavan Agro Centre Nandana,JAMNAGAR TERRITORY,Gujarat,RAJKOT,JAMNAGAR,Gujarat
01000383,Avni Agro Centre Moti Monpari,OTHER SAURASHTRA TERRITORY,Gujarat,RAJKOT,OTHER SAURASHTRA,Gujarat
01000384,Balaji Traders Mendarda,JUNAGADH TERRITORY,Gujarat,RAJKOT,JUNAGADH,Gujarat
01000386,Bharat Agro Chemicals Bhesan,JUNAGADH TERRITORY,Gujarat,RAJKOT,JUNAGADH,Gujarat
01000387,Dharti Agro & Traders Joshipara(Junagadh),JUNAGADH TERRITORY,Gujarat,RAJKOT,JUNAGADH,Gujarat
01000390,Field Marshal Agro Bagavadar,JUNAGADH TERRITORY,Gujarat,RAJKOT,JUNAGADH,Gujarat
01000392,Gayatri Agro Chemicals Vanthali,JUNAGADH TERRITORY,Gujarat,RAJKOT,JUNAGADH,Gujarat
01000393,Ghanshyam Agro Centre Sakhdavadar,OTHER SAURASHTRA TERRITORY,Gujarat,RAJKOT,OTHER SAURASHTRA,Gujarat
01000394,Giriraj Agro Centre Maliya Hatina,JUNAGADH TERRITORY,Gujarat,RAJKOT,JUNAGADH,Gujarat
01000395,Gokul Agro Centre Tikar,JUNAGADH TERRITORY,Gujarat,RAJKOT,JUNAGADH,Gujarat
01000400,Kalindi Agro Centre Dungari,OTHER SAURASHTRA TERRITORY,Gujarat,RAJKOT,OTHER SAURASHTRA,Gujarat
01000402,Kamnath Agro Centre Amrapur (Gir),OTHER SAURASHTRA TERRITORY,Gujarat,RAJKOT,OTHER SAURASHTRA,Gujarat
01004562,Patel Trading Co. - Talala,JUNAGADH TERRITORY,Gujarat,RAJKOT,JUNAGADH,Gujarat
40100241,Rajesh Fertilizers - Demai,NADIYAD TERRITORY,Gujarat,VADODARA,NADIYAD,Gujarat
40100242,Jay Veer Agro Sale - Kukarmunda,BARODA TERRITORY,Gujarat,VADODARA,BARODA,Gujarat
40100243,Shree Laxmi Seeds - Viramgam,SURENDRANAGAR TERRITORY,Gujarat,VADODARA,SURENDRANAGAR,Gujarat
40100245,Patel Sales Corporation - Patan,DEESA TERRITORY,Gujarat,VADODARA,DEESA,Gujarat
40100246,Agro Service Center - Pethapur,OTHER NS GUJARAT TERRITORY,Gujarat,VADODARA,OTHER NS GUJARAT,Gujarat
40100247,Maa Krupa Agro - Miyapur,SURAT TERRITORY,Gujarat,VADODARA,SURAT,Gujarat
40100249,Jayesh Beej Co - Surat,SURAT TERRITORY,Gujarat,VADODARA,SURAT,Gujarat
40100250,S.Ketankumar And Co - Talala,JUNAGADH TERRITORY,Gujarat,RAJKOT,JUNAGADH,Gujarat
40100251,Bajrang Agro Centre - Bilkha,JUNAGADH TERRITORY,Gujarat,RAJKOT,JUNAGADH,Gujarat
40100252,Krushi Agencies - Kutiyana,JUNAGADH TERRITORY,Gujarat,RAJKOT,JUNAGADH,Gujarat
40100253,Sainath Agro Chemicals - Dhasa,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
40100254,Avinash Agro Chemicals - Nodhanvadar,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
40100258,Lalguru Agro Center - Kadi,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
40100259,Jaiveer Agro Fertilizers - Vijapur,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
40100260,Tirupati Agro Agency - Dharampur,SURAT TERRITORY,Gujarat,VADODARA,SURAT,Gujarat
40100261,Pratik Fertilizers - Khergam,SURAT TERRITORY,Gujarat,VADODARA,SURAT,Gujarat
40100262,Khodiyar Krushi Kendra - Vansda,SURAT TERRITORY,Gujarat,VADODARA,SURAT,Gujarat
40100263,Dhananjay Agro Agency - Oliya,AMRELI TERRITORY,Gujarat,RAJKOT,AMRELI,Gujarat
40100271,Satyam Agro Seeds Agency - Jamnagar,JAMNAGAR TERRITORY,Gujarat,RAJKOT,JAMNAGAR,Gujarat
40100272,Shree Ganesh Agro Business Centre - Vadali,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
40100273,New Rajeshwari Agro Chemical - Chuda,SURENDRANAGAR TERRITORY,Gujarat,VADODARA,SURENDRANAGAR,Gujarat
40100274,Shri Umiya Bij Bhandar - Muval Chowkdi,BARODA TERRITORY,Gujarat,VADODARA,BARODA,Gujarat
40100278,Shree Brahmani Fertilizers - Becharaji,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
40100279,Shreeji Krupa Agro Agency - Surendranagar,SURENDRANAGAR TERRITORY,Gujarat,VADODARA,SURENDRANAGAR,Gujarat
40100311,Shreeji Traders - Waghodia,BARODA TERRITORY,Gujarat,VADODARA,BARODA,Gujarat
40100334,Ramdev Traders - Khodu,SURENDRANAGAR TERRITORY,Gujarat,VADODARA,SURENDRANAGAR,Gujarat
40100341,Vaidik Krushi Zone - Himmatnagar,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
40100345,Agri Business Center - Varetha,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
40100347,Vishwa Enterprise - Mansa,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
40100351,Manek Agro Chem - Ahmedabad,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
40100352,Anjana Krushi Kendra - Radhanpur,DEESA TERRITORY,Gujarat,VADODARA,DEESA,Gujarat
40100354,Shiv Agro Center - Siddhapur,DEESA TERRITORY,Gujarat,VADODARA,DEESA,Gujarat
40100356,Vishwas Agro Center - Veraval,JUNAGADH TERRITORY,Gujarat,RAJKOT,JUNAGADH,Gujarat
40100358,Vikas Agro Agency - Dhoraji,Jetpur Territory,Gujarat,RAJKOT,Jetpur,Gujarat
40100360,Agro Service Centre - Ambardi,AMRELI TERRITORY,Gujarat,RAJKOT,AMRELI,Gujarat
40100365,Mira Agro Center - Dhola Junction,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
40100390,Murlidhar Agro - Lunagara,Jetpur Territory,Gujarat,RAJKOT,Jetpur,Gujarat
40100392,Jay Kishan Agro Centre - Jam Kandorana,Jetpur Territory,Gujarat,RAJKOT,Jetpur,Gujarat
40100397,Shiv Shakti Fertilizers - Savali,BARODA TERRITORY,Gujarat,VADODARA,BARODA,Gujarat
40100420,Adarsh Agro - Upleta,Jetpur Territory,Gujarat,RAJKOT,Jetpur,Gujarat
40100422,Gujarat Agro & Hardware - Sayla,SURENDRANAGAR TERRITORY,Gujarat,VADODARA,SURENDRANAGAR,Gujarat
40100433,Unique Traders - Dabhoi,BARODA TERRITORY,Gujarat,VADODARA,BARODA,Gujarat
40100439,Raj Bajrang Agro Fertilizers - Botad,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
40100440,Shree Krishna Agro Center - Nesadi,AMRELI TERRITORY,Gujarat,RAJKOT,AMRELI,Gujarat
40100453,Shree Patel Traders - Ankleshwar,BARODA TERRITORY,Gujarat,VADODARA,BARODA,Gujarat
40100460,Sankalp Agro Center - Latipar,RAJKOT TERRITORY,Gujarat,RAJKOT,RAJKOT T,Gujarat
40100466,New Krishi Beej Nigam - Kukarwada,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
40100468,Krushan Agro Centre - Lakhani,DEESA TERRITORY,Gujarat,VADODARA,DEESA,Gujarat
40100474,Navdurga Agencies - Idar,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
40100478,Hari Om Agro Chemicals - Kheda,NADIYAD TERRITORY,Gujarat,VADODARA,NADIYAD,Gujarat
40100481,Khodiyar Agro Agency - Vavdi,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
40100483,Shree Sadguru Sales Corporation - Todiya,SURENDRANAGAR TERRITORY,Gujarat,VADODARA,SURENDRANAGAR,Gujarat
40100485,Maharaj Agro Centre - Vadu,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
40100494,Jay Yogeshvar Krushi Kendra - Mahuva,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
40100496,Shriji Agro Center - Rapar,SURENDRANAGAR TERRITORY,Gujarat,VADODARA,SURENDRANAGAR,Gujarat
40100503,Umiya Agro - Bodeli,BARODA TERRITORY,Gujarat,VADODARA,BARODA,Gujarat
40100510,Marss Agro Chemicals - Kheda,NADIYAD TERRITORY,Gujarat,VADODARA,NADIYAD,Gujarat
40100523,Kisan Agro - Vadgam,DEESA TERRITORY,Gujarat,VADODARA,DEESA,Gujarat
40100531,Shiv Agro Centre - Kalavad,JAMNAGAR TERRITORY,Gujarat,RAJKOT,JAMNAGAR,Gujarat
40100534,Shiv Agro Centre - Chitra,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
40100542,Shree Shakti Fertilizer - Paliyad ( Botad ),BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
40100543,Badi Traders - Panchasiya,RAJKOT TERRITORY,Gujarat,RAJKOT,RAJKOT T,Gujarat
40100561,Dhyey Ageo Agency - Zanzarada,JUNAGADH TERRITORY,Gujarat,RAJKOT,JUNAGADH,Gujarat
40100650,Green Gujarat Agro Center - Tharad,DEESA TERRITORY,Gujarat,VADODARA,DEESA,Gujarat
40100653,Shivram Agro Chemicals - Babarkot,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
40100654,Harsiddhi Agro Centre - Radhanpur,DEESA TERRITORY,Gujarat,VADODARA,DEESA,Gujarat
40100657,Milan Agro Agency - Talaja,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
40100659,Khedut Agro Centre - Bardoli,SURAT TERRITORY,Gujarat,VADODARA,SURAT,Gujarat
40100661,Jay Shree Ram Agro Centar - Dhandhuka,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
40100673,Patel Agro Center - Kolki,Jetpur Territory,Gujarat,RAJKOT,Jetpur,Gujarat
40100680,Janki Sales Corporation - Moti Jagdhar,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
40100682,Shriji Agro Center - Samdhiyada,JUNAGADH TERRITORY,Gujarat,RAJKOT,JUNAGADH,Gujarat
40100692,Gurukrupa Agro - Moti Monpari,JUNAGADH TERRITORY,Gujarat,RAJKOT,JUNAGADH,Gujarat
40100693,Rang Avdhoot Agro - Kotha,SURAT TERRITORY,Gujarat,VADODARA,SURAT,Gujarat
40100698,Shree Ram Agro Center - Jam Gadhaka,JAMNAGAR TERRITORY,Gujarat,RAJKOT,JAMNAGAR,Gujarat
40100704,Bharat Agro Center - Budhel,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
40100705,Shiv Shakti Agro Traders - Thangadh,RAJKOT TERRITORY,Gujarat,RAJKOT,RAJKOT T,Gujarat
40100709,Khodiyar Agro Center - Shankhdavadar,JUNAGADH TERRITORY,Gujarat,RAJKOT,JUNAGADH,Gujarat
40100714,Ganesh Agro Centre - Moti Kukavav,AMRELI TERRITORY,Gujarat,RAJKOT,AMRELI,Gujarat
40100719,Chaudhari Sales Corporation - Tharad,DEESA TERRITORY,Gujarat,VADODARA,DEESA,Gujarat
40100729,Gayatri Traders - Deodar,DEESA TERRITORY,Gujarat,VADODARA,DEESA,Gujarat
40100731,Sunny Agro Service- Dahod,NADIYAD TERRITORY,Gujarat,VADODARA,NADIYAD,Gujarat
40100734,Shivdhara Agro- Salatpur,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
40100739,Banshidhar Agro Chemicals- Dhudasiya,JAMNAGAR TERRITORY,Gujarat,RAJKOT,JAMNAGAR,Gujarat
40100740,N K Agro Center- Himmatnagar,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
40100744,Devki Agro- Devpar,SURENDRANAGAR TERRITORY,Gujarat,VADODARA,SURENDRANAGAR,Gujarat
40100745,Momai Agro Center- Bhadthar,JAMNAGAR TERRITORY,Gujarat,RAJKOT,JAMNAGAR,Gujarat
40100747,Satyam Agro Center- Chauta,Jetpur Territory,Gujarat,RAJKOT,Jetpur,Gujarat
40100750,Arbuda Seeds Center- Thara,DEESA TERRITORY,Gujarat,VADODARA,DEESA,Gujarat
40100755,Ellora Traders- Tithava,RAJKOT TERRITORY,Gujarat,RAJKOT,RAJKOT T,Gujarat
40100763,Maruti Agro Center- Ghandala,AMRELI TERRITORY,Gujarat,RAJKOT,AMRELI,Gujarat
40100764,Uma Agro Center-kotada,SURENDRANAGAR TERRITORY,Gujarat,VADODARA,SURENDRANAGAR,Gujarat
40100765,Kuldevi Agro Tech-Junapadar,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
40100766,Shri Gopinathji Agro Center-Piprala,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
40100772,Gayatri Fertilizer- Borol,NADIYAD TERRITORY,Gujarat,VADODARA,NADIYAD,Gujarat
40100775,Anjani Agrotech- Morbi,RAJKOT TERRITORY,Gujarat,RAJKOT,RAJKOT T,Gujarat
40100778,Vishvas Agro Agency- Ranpur,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
40100780,Madhav Agro Center-Sidsar,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
40100794,Sahyog Agro Center-Jadar,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
40100796,Shri Ranchhodray Agro-Umreth,NADIYAD TERRITORY,Gujarat,VADODARA,NADIYAD,Gujarat
40100803,Bapa Sitaram Krushi Kendra-Dedan,AMRELI TERRITORY,Gujarat,RAJKOT,AMRELI,Gujarat
40100806,Panchnath Fertilizers-Dhoraji,Jetpur Territory,Gujarat,RAJKOT,Jetpur,Gujarat
40100809,Vedmurti Irrigation & Marketing- Sathamba,NADIYAD TERRITORY,Gujarat,VADODARA,NADIYAD,Gujarat
40100816,Maa Krupa Agro Center-Morva,NADIYAD TERRITORY,Gujarat,VADODARA,NADIYAD,Gujarat
40100821,Mahesh Agro-Chotila,RAJKOT TERRITORY,Gujarat,RAJKOT,RAJKOT T,Gujarat
40100822,Kisan Beej Nigam-Limbadiya,NADIYAD TERRITORY,Gujarat,VADODARA,NADIYAD,Gujarat
40100823,Pradip Pesticide-Mahuva,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
40100825,Jay Sardar Agro-Bamangam,JAMNAGAR TERRITORY,Gujarat,RAJKOT,JAMNAGAR,Gujarat
40100826,Shri Kheti Sewa Kendra-Morbi,RAJKOT TERRITORY,Gujarat,RAJKOT,RAJKOT T,Gujarat
40100829,Jay Kisan Agro Chemicals-Savarkundla,AMRELI TERRITORY,Gujarat,RAJKOT,AMRELI,Gujarat
40100834,Krishna Agro Center - Amarnagar,Jetpur Territory,Gujarat,RAJKOT,Jetpur,Gujarat
40100835,Ashapura Agro center - Kharoi,SURENDRANAGAR TERRITORY,Gujarat,VADODARA,SURENDRANAGAR,Gujarat
40100836,Patel Pesticides - Santrampur,NADIYAD TERRITORY,Gujarat,VADODARA,NADIYAD,Gujarat
40100837,Agri Business Center - Kashindra,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
40100842,Aastha Agro Tech - Mahuva,BOTAD TERRITORY,Gujarat,RAJKOT,BOTAD,Gujarat
40100843,Kanaiya Agro Agency - Bagasara,AMRELI TERRITORY,Gujarat,RAJKOT,AMRELI,Gujarat
40100849,Patidar Agro - Lalsar,NADIYAD TERRITORY,Gujarat,VADODARA,NADIYAD,Gujarat
